Entity/Table Name,Entity/Table Physical_Name,Comment,Definition,Attribute/Column Name,Attribute/Column Physical_Name,Comment,Definition,Is FK,Is PK,Logical Data Type,Physical Data Type
LNK_POLICY_HAS_TRANSACTION,LNK_POLICY_HAS_TRANSACTION,Link table connecting a policy and a transaction.,Link table connecting a policy and a transaction.,POLICY_HAS_TRANSACTION_HK,POLICY_HAS_TRANSACTION_HK,Hash key of the natural key for the associated table/concept/domain/subject area  in the source system.,Hash key of the natural key for the associated table/concept/domain/subject area  in the source system.,FALSE,TRUE,BINARY(16),BINARY(16)
LNK_POLICY_HAS_TRANSACTION,LNK_POLICY_HAS_TRANSACTION,Link table connecting a policy and a transaction.,Link table connecting a policy and a transaction.,LOAD_TIMESTAMP,LOAD_TIMESTAMP,,,FALSE,FALSE,TIMESTAMP,TIMESTAMP
LNK_POLICY_HAS_TRANSACTION,LNK_POLICY_HAS_TRANSACTION,Link table connecting a policy and a transaction.,Link table connecting a policy and a transaction.,RECORD_SOURCE,RECORD_SOURCE,"Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.","Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.",FALSE,FALSE,VARCHAR(100),VARCHAR(100)
LNK_POLICY_HAS_TRANSACTION,LNK_POLICY_HAS_TRANSACTION,Link table connecting a policy and a transaction.,Link table connecting a policy and a transaction.,POLICY_HK,POLICY_HK,,,TRUE,FALSE,BINARY(),BINARY()
LNK_POLICY_HAS_TRANSACTION,LNK_POLICY_HAS_TRANSACTION,Link table connecting a policy and a transaction.,Link table connecting a policy and a transaction.,TRANSACTION_HK,TRANSACTION_HK,Hash key of the natural key for the associated table/concept/domain/subject area  in the source system.,Hash key of the natural key for the associated table/concept/domain/subject area  in the source system.,TRUE,FALSE,BINARY(16),BINARY(16)
LINK,LINK,,,,,,,,,,
HUB,HUB,,,,,,,,,,
SAT,SAT,,,,,,,,,,
HUB_TRANSACTION,HUB_TRANSACTION,Holds business hash key for a transaction.,Holds business hash key for a transaction.,TRANSACTION_HK,TRANSACTION_HK,Hash key of the natural key for the associated table/concept/domain/subject area  in the source system.,Hash key of the natural key for the associated table/concept/domain/subject area  in the source system.,FALSE,TRUE,BINARY(16),BINARY(16)
HUB_TRANSACTION,HUB_TRANSACTION,Holds business hash key for a transaction.,Holds business hash key for a transaction.,LOAD_TIMESTAMP,LOAD_TIMESTAMP,,,FALSE,FALSE,TIMESTAMP,TIMESTAMP
HUB_TRANSACTION,HUB_TRANSACTION,Holds business hash key for a transaction.,Holds business hash key for a transaction.,RECORD_SOURCE,RECORD_SOURCE,"Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.","Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.",FALSE,FALSE,VARCHAR(100),VARCHAR(100)
HUB_TRANSACTION,HUB_TRANSACTION,Holds business hash key for a transaction.,Holds business hash key for a transaction.,TRANSACTION_ID,TRANSACTION_ID,,,FALSE,FALSE,VARCHAR(250),VARCHAR(250)
HUB_POLICY,HUB_POLICY,Holds business hash key for a policy. ,Holds business hash key for a policy. ,POLICY_HK,POLICY_HK,,,FALSE,TRUE,BINARY(),BINARY()
HUB_POLICY,HUB_POLICY,Holds business hash key for a policy. ,Holds business hash key for a policy. ,LOAD_TIMESTAMP,LOAD_TIMESTAMP,,,FALSE,FALSE,TIMESTAMP,TIMESTAMP
HUB_POLICY,HUB_POLICY,Holds business hash key for a policy. ,Holds business hash key for a policy. ,RECORD_SOURCE,RECORD_SOURCE,"Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.","Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.",FALSE,FALSE,VARCHAR(100),VARCHAR(100)
HUB_POLICY,HUB_POLICY,Holds business hash key for a policy. ,Holds business hash key for a policy. ,POLICY_NUMBER,POLICY_NUMBER,,,FALSE,FALSE,VARCHAR(50),VARCHAR(50)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,POLICY_HK,POLICY_HK,,,TRUE,TRUE,BINARY(),BINARY()
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,LOAD_TIMESTAMP,LOAD_TIMESTAMP,,,FALSE,TRUE,TIMESTAMP,TIMESTAMP
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,RECORD_SOURCE,RECORD_SOURCE,"Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.","Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.",FALSE,FALSE,VARCHAR(100),VARCHAR(100)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,HASHDIFF,HASHDIFF,Checksum value used to detect record level changes in the source system for values stored in the satellite target table. Should always include the hash key (HK) for the record from the hub table as well as all descriptive (non data vault specific metadata fields) in the satellite table. For a list of all satellite fields which should be included in the hashdiff of the table look at the UDP named INCLUDE_IN_HASHDIFF. If it is set to true then it shoudl be included else it is not included.,Checksum value used to detect record level changes in the source system for values stored in the satellite target table. Should always include the hash key (HK) for the record from the hub table as well as all descriptive (non data vault specific metadata fields) in the satellite table. For a list of all satellite fields which should be included in the hashdiff of the table look at the UDP named INCLUDE_IN_HASHDIFF. If it is set to true then it shoudl be included else it is not included.,FALSE,FALSE,BINARY(16),BINARY(16)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,EFFECTIVE_TIMESTAMP,EFFECTIVE_TIMESTAMP,Should be set to beginning of day (time) when being set for a specific date.,Should be set to beginning of day (time) when being set for a specific date.,FALSE,FALSE,TIMESTAMP,TIMESTAMP
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,TRANSACTION_HK,TRANSACTION_HK,Foreign key to SAT_PEAK_TRANSACTION,Foreign key to SAT_PEAK_TRANSACTION,FALSE,FALSE,BINARY(16),BINARY(16)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,POLICY_NUMBER,POLICY_NUMBER,"Number assigned to a policy. It is unique and is printed on the DEC page to identify the policy to the policyholder. This is duplicated on purpose so that this information will be included when publishing the policy change event for downstream.

SPII
Restricted General- PII Partial

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Number assigned to a policy. It is unique and is printed on the DEC page to identify the policy to the policyholder. This is duplicated on purpose so that this information will be included when publishing the policy change event for downstream.

SPII
Restricted General- PII Partial

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,POLICYREADONLYHISTORYID,POLICYREADONLYHISTORYID,"Not in PEAK DATA MODEL; Need definition and classification from business

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd","Not in PEAK DATA MODEL; Need definition and classification from business

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,INCLUDEDELETED,INCLUDEDELETED,"Not in PEAK DATA MODEL; Need definition and classification from business

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd","Not in PEAK DATA MODEL; Need definition and classification from business

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd",FALSE,FALSE,BOOLEAN,BOOLEAN
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,PRODUCTKIND,PRODUCTKIND,"Not in PEAK DATA MODEL; Need definition and classification from business

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd","Not in PEAK DATA MODEL; Need definition and classification from business

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,RETRIEVEPOLICY_ID,RETRIEVEPOLICY_ID,"Not in PEAK DATA MODEL; Need definition and classification from business

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd","Not in PEAK DATA MODEL; Need definition and classification from business

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
