"Table Name","Column Name","Column Data_Type","Data Source Column/Data Movement Column Name","Data Source Column/Data Movement Column Physical_Data_Type","Data Source Table/Data Movement Table Name","Data Source Object Name","Data Source Object Data_Source_Import_Type","Data Source Object Data_Source_Server","Data Source Object Data_Source_System","Data Source Object Data_Source_Type",
LNK_POLICY_HAS_TRANSACTION,POLICY_HK,BINARY(),,,,,,,,,
LNK_POLICY_HAS_TRANSACTION,TRANSACTION_HK,BINARY(16),,,,,,,,,
LNK_POLICY_HAS_TRANSACTION,LOAD_TIMESTAMP,TIMESTAMP,,,,,,,,,
LNK_POLICY_HAS_TRANSACTION,RECORD_SOURCE,VARCHAR(100),,,,,,,,,
LNK_POLICY_HAS_TRANSACTION,POLICY_HAS_TRANSACTION_HK,BINARY(16),POLICYREADONLYHISTORYID,VARCHAR(16777216),TRANSACTION,DV_POLICY_CONFORMED_PEAK,,WH_DBTVAULT_1,DV_POLICY_CONFORMED.PEAK,Relational,
LNK_POLICY_HAS_TRANSACTION,POLICY_HAS_TRANSACTION_HK,BINARY(16),POLICY_NUMBER,VARCHAR(16777216),POLICY,DV_POLICY_CONFORMED_PEAK,,WH_DBTVAULT_1,DV_POLICY_CONFORMED.PEAK,Relational,
LINK,,,,,,,,,,,
HUB,,,,,,,,,,,
SAT,,,,,,,,,,,
HUB_TRANSACTION,LOAD_TIMESTAMP,TIMESTAMP,,,,,,,,,
HUB_TRANSACTION,RECORD_SOURCE,VARCHAR(100),,,,,,,,,
HUB_TRANSACTION,TRANSACTION_HK,BINARY(16),POLICYREADONLYHISTORYID,VARCHAR(16777216),TRANSACTION,DV_POLICY_CONFORMED_PEAK,,WH_DBTVAULT_1,DV_POLICY_CONFORMED.PEAK,Relational,
HUB_TRANSACTION,TRANSACTION_NK,VARCHAR(250),HISTORYID,"NUMBER(38,0)",TRANSACTION,DV_POLICY_CONFORMED_PEAK,,WH_DBTVAULT_1,DV_POLICY_CONFORMED.PEAK,Relational,
HUB_POLICY,POLICY_HK,BINARY(),POLICY_NUMBER,VARCHAR(16777216),POLICY,DV_POLICY_CONFORMED_PEAK,,WH_DBTVAULT_1,DV_POLICY_CONFORMED.PEAK,Relational,
HUB_POLICY,LOAD_TIMESTAMP,TIMESTAMP,,,,,,,,,
HUB_POLICY,RECORD_SOURCE,VARCHAR(100),,,,,,,,,
HUB_POLICY,POLICY_NUMBER,VARCHAR(50),POLICY_NUMBER,VARCHAR(16777216),POLICY,DV_POLICY_CONFORMED_PEAK,,WH_DBTVAULT_1,DV_POLICY_CONFORMED.PEAK,Relational,
SAT_PEAK_POLICY,POLICY_HK,BINARY(),,,,,,,,,
SAT_PEAK_POLICY,LOAD_TIMESTAMP,TIMESTAMP,,,,,,,,,
SAT_PEAK_POLICY,RECORD_SOURCE,VARCHAR(100),,,,,,,,,
SAT_PEAK_POLICY,HASHDIFF,BINARY(16),,,,,,,,,
SAT_PEAK_POLICY,EFFECTIVE_TIMESTAMP,TIMESTAMP,EFFECTIVEDATE,DATE,POLICY,DV_POLICY_CONFORMED_PEAK,,WH_DBTVAULT_1,DV_POLICY_CONFORMED.PEAK,Relational,
SAT_PEAK_POLICY,TRANSACTION_HK,BINARY(16),POLICYREADONLYHISTORYID,VARCHAR(16777216),POLICY,DV_POLICY_CONFORMED_PEAK,,WH_DBTVAULT_1,DV_POLICY_CONFORMED.PEAK,Relational,
SAT_PEAK_POLICY,POLICY_NUMBER,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,POLICYREADONLYHISTORYID,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,INCLUDEDELETED,BOOLEAN,,,,,,,,,
SAT_PEAK_POLICY,PRODUCTKIND,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,RETRIEVEPOLICY_ID,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,DATA_ID,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,POLICY_ID,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,ACCOUNTID,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,AGENTID,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,AIPVOLUNTARYRATEINDICATOR,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,APPLICATIONORIGINALWRITTENDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,AVAILABLEVEHICLENUMBERID,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,CANCELLATIONDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,CAPPINGPREVIOUSLOBCODE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,COMPANYINCEPTIONDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,CONTRACTOVERRIDE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,CONTRACTREVIEWDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,CONTRACTTYPE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,CONTRACTTYPEASSIGNDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,CORPORATEINCEPTIONDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,CTRAUTHORIZATIONSTATUS,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,CTRRECEIVEDDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,CTRSENTDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,DECLINEOVERRIDE,BOOLEAN,,,,,,,,,
SAT_PEAK_POLICY,DECLINEOVERRIDEUSER,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,DECPACKAGETYPECODE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,DEPENDENTS,"NUMBER(38,0)",,,,,,,,,
SAT_PEAK_POLICY,EFFECTIVEDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,EFFECTIVETYPECODE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,EXPIRATIONDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,FASTTRACKRENEWALINDICATOR,VARCHAR(16777216),,,,,,,,,
