"Entity/Table Name","Entity/Table Physical_Name","Comment","Definition","Attribute/Column Name","Attribute/Column Physical_Name","Attribute.Physical.SPI_CLASSIFICATION","Comment","Definition","Is FK","Is PK","Logical Data Type","Physical Data Type"
LNK_POLICY_HAS_POLICY_TRANSACTION,LNK_POLICY_HAS_POLICY_TRANSACTION,"Defined a relationship between two transaction.  For instance, one transaction can be an ancestor of another transaction.","Defined a relationship between two transaction.  For instance, one transaction can be an ancestor of another transaction.",POLICY_HAS_POLICY_TRANSACTION_HK,POLICY_HAS_POLICY_TRANSACTION_HK,Confidential,Hash key of the natural key for the associated table/concept/domain/subject area  in the source system.,Hash key of the natural key for the associated table/concept/domain/subject area  in the source system.,false,true,BINARY(16),BINARY(16)
LNK_POLICY_HAS_POLICY_TRANSACTION,LNK_POLICY_HAS_POLICY_TRANSACTION,"Defined a relationship between two transaction.  For instance, one transaction can be an ancestor of another transaction.","Defined a relationship between two transaction.  For instance, one transaction can be an ancestor of another transaction.",LOAD_TIMESTAMP,LOAD_TIMESTAMP,Confidential,Time and date the record was loaded into the table.,Time and date the record was loaded into the table.,false,false,TIMESTAMP,TIMESTAMP
LNK_POLICY_HAS_POLICY_TRANSACTION,LNK_POLICY_HAS_POLICY_TRANSACTION,"Defined a relationship between two transaction.  For instance, one transaction can be an ancestor of another transaction.","Defined a relationship between two transaction.  For instance, one transaction can be an ancestor of another transaction.",RECORD_SOURCE,RECORD_SOURCE,Confidential,"Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.","Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.",false,false,VARCHAR(100),VARCHAR(100)
LNK_POLICY_HAS_POLICY_TRANSACTION,LNK_POLICY_HAS_POLICY_TRANSACTION,"Defined a relationship between two transaction.  For instance, one transaction can be an ancestor of another transaction.","Defined a relationship between two transaction.  For instance, one transaction can be an ancestor of another transaction.",POLICY_HK,POLICY_HK,Confidential,Hash Key assigned to the Policy's Natural Key.,Hash Key assigned to the Policy's Natural Key.,true,false,BINARY(),BINARY()
LNK_POLICY_HAS_POLICY_TRANSACTION,LNK_POLICY_HAS_POLICY_TRANSACTION,"Defined a relationship between two transaction.  For instance, one transaction can be an ancestor of another transaction.","Defined a relationship between two transaction.  For instance, one transaction can be an ancestor of another transaction.",POLICY_TRANSACTION_HK,POLICY_TRANSACTION_HK,Confidential,Hash key of the natural key for the associated table/concept/domain/subject area  in the source system.,Hash key of the natural key for the associated table/concept/domain/subject area  in the source system.,true,false,BINARY(16),BINARY(16)
HUB_POLICY_TRANSACTION,HUB_POLICY_TRANSACTION,Holds business hash key for a transaction.,Holds business hash key for a transaction.,POLICY_TRANSACTION_HK,POLICY_TRANSACTION_HK,Confidential,Hash key of the natural key for the associated table/concept/domain/subject area  in the source system.,Hash key of the natural key for the associated table/concept/domain/subject area  in the source system.,false,true,BINARY(16),BINARY(16)
HUB_POLICY_TRANSACTION,HUB_POLICY_TRANSACTION,Holds business hash key for a transaction.,Holds business hash key for a transaction.,LOAD_TIMESTAMP,LOAD_TIMESTAMP,Confidential,Time and date the record was loaded into the table.,Time and date the record was loaded into the table.,false,false,TIMESTAMP,TIMESTAMP
HUB_POLICY_TRANSACTION,HUB_POLICY_TRANSACTION,Holds business hash key for a transaction.,Holds business hash key for a transaction.,RECORD_SOURCE,RECORD_SOURCE,Confidential,"Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.","Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.",false,false,VARCHAR(100),VARCHAR(100)
HUB_POLICY_TRANSACTION,HUB_POLICY_TRANSACTION,Holds business hash key for a transaction.,Holds business hash key for a transaction.,POLICY_TRANSACTION_NK,POLICY_TRANSACTION_NK,Confidential,Business Natural Key for a Transaction,Business Natural Key for a Transaction,false,false,VARCHAR(250),VARCHAR(16777216)
HUB_POLICY,HUB_POLICY,Holds business hash key for a policy. ,Holds business hash key for a policy. ,POLICY_HK,POLICY_HK,Confidential,Hash Key assigned to the Policy's Natural Key.,Hash Key assigned to the Policy's Natural Key.,false,true,BINARY(),BINARY()
